# station: Waripathanchena Bridge
# unit_id: IEI
# device_key: 4lr2qrunqdk4
# type: river_level   region: galoya
# value unit: m   max_level_m: 6
# lat: 0   lon: 0
# source: rivernet.lk flood early-warning API (site-owner permission granted)
datetime_utc,datetime_local_530,value,received_at_utc,source
2026-08-30T01:45:00Z,2026-08-30 07:15:00,0.71,,chart
2026-08-30T01:46:00Z,2026-08-30 07:16:00,0.71,,chart
2026-08-30T01:47:00Z,2026-08-30 07:17:00,0.71,,chart
2026-08-30T01:48:00Z,2026-08-30 07:18:00,0.71,,chart
2026-08-30T01:49:00Z,2026-08-30 07:19:00,0.71,,chart
2026-08-30T01:50:00Z,2026-08-30 07:20:00,0.71,,chart
2026-08-30T01:51:00Z,2026-08-30 07:21:00,0.71,,chart
2026-08-30T01:52:00Z,2026-08-30 07:22:00,0.71,,chart
2026-08-30T01:53:00Z,2026-08-30 07:23:00,0.71,,chart
2026-08-30T01:54:00Z,2026-08-30 07:24:00,0.71,,chart
2026-08-30T01:55:00Z,2026-08-30 07:25:00,0.71,,chart
2026-08-30T01:56:00Z,2026-08-30 07:26:00,0.71,,chart
2026-08-30T01:57:00Z,2026-08-30 07:27:00,0.71,,chart
2026-08-30T01:58:00Z,2026-08-30 07:28:00,0.71,,chart
2026-08-30T01:59:00Z,2026-08-30 07:29:00,0.71,,chart
2026-08-30T02:00:00Z,2026-08-30 07:30:00,0.71,,chart
2026-08-30T02:01:00Z,2026-08-30 07:31:00,0.7,,chart
2026-08-30T02:02:00Z,2026-08-30 07:32:00,0.7,,chart
2026-08-30T02:03:00Z,2026-08-30 07:33:00,0.7,,chart
2026-08-30T02:04:00Z,2026-08-30 07:34:00,0.7,,chart
2026-08-30T02:05:00Z,2026-08-30 07:35:00,0.7,,chart
2026-08-30T02:06:00Z,2026-08-30 07:36:00,0.7,,chart
2026-08-30T02:07:00Z,2026-08-30 07:37:00,0.7,,chart
2026-08-30T02:08:00Z,2026-08-30 07:38:00,0.7,,chart
2026-08-30T02:09:00Z,2026-08-30 07:39:00,0.7,,chart
2026-08-30T02:10:00Z,2026-08-30 07:40:00,0.7,,chart
2026-08-30T02:11:00Z,2026-08-30 07:41:00,0.7,,chart
2026-08-30T02:12:00Z,2026-08-30 07:42:00,0.7,,chart
2026-08-30T02:13:00Z,2026-08-30 07:43:00,0.7,,chart
2026-08-30T02:14:00Z,2026-08-30 07:44:00,0.7,,chart
2026-08-30T02:15:00Z,2026-08-30 07:45:00,0.7,,chart
2026-08-30T02:16:00Z,2026-08-30 07:46:00,0.7,,chart
2026-08-30T02:17:00Z,2026-08-30 07:47:00,0.7,,chart
2026-08-30T02:18:00Z,2026-08-30 07:48:00,0.7,,chart
2026-08-30T02:19:00Z,2026-08-30 07:49:00,0.7,,chart
2026-08-30T02:20:00Z,2026-08-30 07:50:00,0.7,,chart
2026-08-30T02:21:00Z,2026-08-30 07:51:00,0.7,,chart
2026-08-30T02:22:00Z,2026-08-30 07:52:00,0.7,,chart
2026-08-30T02:23:00Z,2026-08-30 07:53:00,0.7,,chart
2026-08-30T02:24:00Z,2026-08-30 07:54:00,0.7,,chart
2026-08-30T02:25:00Z,2026-08-30 07:55:00,0.7,,chart
2026-08-30T02:26:00Z,2026-08-30 07:56:00,0.7,,chart
2026-08-30T02:27:00Z,2026-08-30 07:57:00,0.7,,chart
2026-08-30T02:28:00Z,2026-08-30 07:58:00,0.7,,chart
2026-08-30T02:29:00Z,2026-08-30 07:59:00,0.69,,chart
2026-08-30T02:30:00Z,2026-08-30 08:00:00,0.69,,chart
2026-08-30T02:31:00Z,2026-08-30 08:01:00,0.69,,chart
2026-08-30T02:32:00Z,2026-08-30 08:02:00,0.69,,chart
2026-08-30T02:33:00Z,2026-08-30 08:03:00,0.69,,chart
2026-08-30T02:34:00Z,2026-08-30 08:04:00,0.69,,chart
2026-08-30T02:35:00Z,2026-08-30 08:05:00,0.69,,chart
2026-08-30T02:36:00Z,2026-08-30 08:06:00,0.69,,chart
2026-08-30T02:37:00Z,2026-08-30 08:07:00,0.69,,chart
2026-08-30T02:38:00Z,2026-08-30 08:08:00,0.69,,chart
2026-08-30T02:39:00Z,2026-08-30 08:09:00,0.69,,chart
2026-08-30T02:40:00Z,2026-08-30 08:10:00,0.69,,chart
2026-08-30T02:41:00Z,2026-08-30 08:11:00,0.69,,chart
2026-08-30T02:42:00Z,2026-08-30 08:12:00,0.69,,chart
2026-08-30T02:43:00Z,2026-08-30 08:13:00,0.69,,chart
2026-08-30T02:44:00Z,2026-08-30 08:14:00,0.69,,chart
2026-08-30T02:45:00Z,2026-08-30 08:15:00,0.69,,chart
2026-08-30T02:46:00Z,2026-08-30 08:16:00,0.69,,chart
2026-08-30T02:47:00Z,2026-08-30 08:17:00,0.69,,chart
2026-08-30T02:48:00Z,2026-08-30 08:18:00,0.69,,chart
2026-08-30T02:49:00Z,2026-08-30 08:19:00,0.69,,chart
2026-08-30T02:50:00Z,2026-08-30 08:20:00,0.69,,chart
2026-08-30T02:51:00Z,2026-08-30 08:21:00,0.69,,chart
2026-08-30T02:52:00Z,2026-08-30 08:22:00,0.69,,chart
2026-08-30T02:53:00Z,2026-08-30 08:23:00,0.69,,chart
2026-08-30T02:54:00Z,2026-08-30 08:24:00,0.69,,chart
2026-08-30T02:55:00Z,2026-08-30 08:25:00,0.69,,chart
2026-08-30T02:56:00Z,2026-08-30 08:26:00,0.69,,chart
2026-08-30T02:57:00Z,2026-08-30 08:27:00,0.69,,chart
2026-08-30T02:58:00Z,2026-08-30 08:28:00,0.69,,chart
2026-08-30T02:59:00Z,2026-08-30 08:29:00,0.69,,chart
2026-08-30T03:00:00Z,2026-08-30 08:30:00,0.69,,chart
2026-08-30T03:01:00Z,2026-08-30 08:31:00,0.69,,chart
2026-08-30T03:02:00Z,2026-08-30 08:32:00,0.69,,chart
2026-08-30T03:03:00Z,2026-08-30 08:33:00,0.69,,chart
2026-08-30T03:04:00Z,2026-08-30 08:34:00,0.69,,chart
2026-08-30T03:05:00Z,2026-08-30 08:35:00,0.69,,chart
2026-08-30T03:06:00Z,2026-08-30 08:36:00,0.69,,chart
2026-08-30T03:07:00Z,2026-08-30 08:37:00,0.69,,chart
2026-08-30T03:08:00Z,2026-08-30 08:38:00,0.69,,chart
2026-08-30T03:09:00Z,2026-08-30 08:39:00,0.69,,chart
2026-08-30T03:10:00Z,2026-08-30 08:40:00,0.69,,chart
2026-08-30T03:11:00Z,2026-08-30 08:41:00,0.69,,chart
2026-08-30T03:12:00Z,2026-08-30 08:42:00,0.69,,chart
2026-08-30T03:13:00Z,2026-08-30 08:43:00,0.69,,chart
2026-08-30T03:14:00Z,2026-08-30 08:44:00,0.69,,chart
2026-08-30T03:15:00Z,2026-08-30 08:45:00,0.69,,chart
2026-08-30T03:16:00Z,2026-08-30 08:46:00,0.69,,chart
2026-08-30T03:17:00Z,2026-08-30 08:47:00,0.69,,chart
2026-08-30T03:18:00Z,2026-08-30 08:48:00,0.69,,chart
2026-08-30T03:19:00Z,2026-08-30 08:49:00,0.69,,chart
2026-08-30T03:20:00Z,2026-08-30 08:50:00,0.69,,chart
2026-08-30T03:21:00Z,2026-08-30 08:51:00,0.69,,chart
2026-08-30T03:22:00Z,2026-08-30 08:52:00,0.69,,chart
2026-08-30T03:23:00Z,2026-08-30 08:53:00,0.69,,chart
2026-08-30T03:24:00Z,2026-08-30 08:54:00,0.69,,chart
