# station: Hurulu Wewa Spill Canal - Girigori's Bridge
# unit_id: IB6
# device_key: 4708j8ynvpk4
# type: river_rain   region: yan_oya
# value unit: mm   max_level_mm: 10
# lat: 8.219384762039134   lon: 80.71280432218822
# source: rivernet.lk flood early-warning API (site-owner permission granted)
datetime_utc,datetime_local_530,value,received_at_utc,source
2026-07-19T12:25:00Z,2026-07-19 17:55:00,0.0,,chart
2026-07-19T12:30:00Z,2026-07-19 18:00:00,0.0,,chart
2026-07-19T12:35:00Z,2026-07-19 18:05:00,0.0,,chart
2026-07-19T12:40:00Z,2026-07-19 18:10:00,0.0,,chart
2026-07-19T12:45:00Z,2026-07-19 18:15:00,0.0,,chart
2026-07-19T12:50:00Z,2026-07-19 18:20:00,0.0,,chart
2026-07-19T12:55:00Z,2026-07-19 18:25:00,0.0,,chart
2026-07-19T13:00:00Z,2026-07-19 18:30:00,0.0,,chart
2026-07-19T13:05:00Z,2026-07-19 18:35:00,0.0,,chart
2026-07-19T13:10:00Z,2026-07-19 18:40:00,0.0,,chart
2026-07-19T13:15:00Z,2026-07-19 18:45:00,0.0,,chart
2026-07-19T13:20:00Z,2026-07-19 18:50:00,0.0,,chart
2026-07-19T13:25:00Z,2026-07-19 18:55:00,0.0,,chart
2026-07-19T13:30:00Z,2026-07-19 19:00:00,0.0,,chart
2026-07-19T13:35:00Z,2026-07-19 19:05:00,0.0,,chart
2026-07-19T13:40:00Z,2026-07-19 19:10:00,0.0,,chart
2026-07-19T13:45:00Z,2026-07-19 19:15:00,0.0,,chart
2026-07-19T13:50:00Z,2026-07-19 19:20:00,0.0,,chart
2026-07-19T13:55:00Z,2026-07-19 19:25:00,0.0,,chart
2026-07-19T14:00:00Z,2026-07-19 19:30:00,0.0,,chart
2026-07-19T14:05:00Z,2026-07-19 19:35:00,0.0,,chart
2026-07-19T14:10:00Z,2026-07-19 19:40:00,0.0,,chart
2026-07-19T14:15:00Z,2026-07-19 19:45:00,0.0,,chart
2026-07-19T14:20:00Z,2026-07-19 19:50:00,0.0,,chart
2026-07-19T14:25:00Z,2026-07-19 19:55:00,0.0,,chart
2026-07-19T14:30:00Z,2026-07-19 20:00:00,0.0,,chart
2026-07-19T14:35:00Z,2026-07-19 20:05:00,0.0,,chart
2026-07-19T14:40:00Z,2026-07-19 20:10:00,0.0,,chart
2026-07-19T14:45:00Z,2026-07-19 20:15:00,0.0,,chart
2026-07-19T14:50:00Z,2026-07-19 20:20:00,0.0,,chart
2026-07-19T14:55:00Z,2026-07-19 20:25:00,0.0,,chart
2026-07-19T15:00:00Z,2026-07-19 20:30:00,0.0,,chart
2026-07-19T15:05:00Z,2026-07-19 20:35:00,0.0,,chart
2026-07-19T15:10:00Z,2026-07-19 20:40:00,0.0,,chart
2026-07-19T15:15:00Z,2026-07-19 20:45:00,0.0,,chart
2026-07-19T15:20:00Z,2026-07-19 20:50:00,0.0,,chart
2026-07-19T15:25:00Z,2026-07-19 20:55:00,0.0,,chart
2026-07-19T15:30:00Z,2026-07-19 21:00:00,0.0,,chart
2026-07-19T15:35:00Z,2026-07-19 21:05:00,0.0,,chart
2026-07-19T15:40:00Z,2026-07-19 21:10:00,0.0,,chart
2026-07-19T15:45:00Z,2026-07-19 21:15:00,0.0,,chart
2026-07-19T15:50:00Z,2026-07-19 21:20:00,0.0,,chart
2026-07-19T15:55:00Z,2026-07-19 21:25:00,0.0,,chart
2026-07-19T16:00:00Z,2026-07-19 21:30:00,0.0,,chart
2026-07-19T16:05:00Z,2026-07-19 21:35:00,0.0,,chart
2026-07-19T16:10:00Z,2026-07-19 21:40:00,0.0,,chart
2026-07-19T16:15:00Z,2026-07-19 21:45:00,0.0,,chart
2026-07-19T16:20:00Z,2026-07-19 21:50:00,0.0,,chart
2026-07-19T16:25:00Z,2026-07-19 21:55:00,0.0,,chart
2026-07-19T16:30:00Z,2026-07-19 22:00:00,0.0,,chart
2026-07-19T16:35:00Z,2026-07-19 22:05:00,0.0,,chart
2026-07-19T16:40:00Z,2026-07-19 22:10:00,0.0,,chart
2026-07-19T16:45:00Z,2026-07-19 22:15:00,0.0,,chart
2026-07-19T16:50:00Z,2026-07-19 22:20:00,0.0,,chart
2026-07-19T16:55:00Z,2026-07-19 22:25:00,0.0,,chart
2026-07-19T17:00:00Z,2026-07-19 22:30:00,0.0,,chart
2026-07-19T17:05:00Z,2026-07-19 22:35:00,0.0,,chart
2026-07-19T17:10:00Z,2026-07-19 22:40:00,0.0,,chart
2026-07-19T17:15:00Z,2026-07-19 22:45:00,0.0,,chart
2026-07-19T17:20:00Z,2026-07-19 22:50:00,0.0,,chart
2026-07-19T17:25:00Z,2026-07-19 22:55:00,0.0,,chart
2026-07-19T17:30:00Z,2026-07-19 23:00:00,0.0,,chart
2026-07-19T17:35:00Z,2026-07-19 23:05:00,0.0,,chart
2026-07-19T17:40:00Z,2026-07-19 23:10:00,0.0,,chart
2026-07-19T17:45:00Z,2026-07-19 23:15:00,0.0,,chart
2026-07-19T17:50:00Z,2026-07-19 23:20:00,0.0,,chart
2026-07-19T17:55:00Z,2026-07-19 23:25:00,0.0,,chart
2026-07-19T18:00:00Z,2026-07-19 23:30:00,0.0,,chart
2026-07-19T18:05:00Z,2026-07-19 23:35:00,0.0,,chart
2026-07-19T18:10:00Z,2026-07-19 23:40:00,0.0,,chart
